Genes,Annotations,Depth,Level,Score
MRA_RS00035,GO:0006807,2,2,0.5629808799999999
MRA_RS00035,GO:0044237,2,2,0.590372272
MRA_RS00035,GO:0044238,2,2,0.6447722039999999
MRA_RS00035,GO:0071704,2,2,0.75173063
MRA_RS00155,GO:0006807,2,2,0.5636858659999999
MRA_RS00155,GO:0044237,2,2,0.591953242
MRA_RS00155,GO:0044238,2,2,0.6458016400000001
MRA_RS00155,GO:0071704,2,2,0.7536618300000001
MRA_RS00160,GO:0006807,2,2,0.563922586
MRA_RS00160,GO:0044237,2,2,0.591685384
MRA_RS00160,GO:0044238,2,2,0.646936878
MRA_RS00160,GO:0071704,2,2,0.754763094
MRA_RS00170,GO:0006807,2,2,0.5547037359999999
MRA_RS00170,GO:0044237,2,2,0.57660921
MRA_RS00170,GO:0044238,2,2,0.62429657
MRA_RS00170,GO:0071704,2,2,0.715869966
MRA_RS00180,GO:0006807,2,2,0.565736796
MRA_RS00180,GO:0044237,2,2,0.5945604
MRA_RS00180,GO:0044238,2,2,0.651012444
MRA_RS00180,GO:0071704,2,2,0.760959566
MRA_RS00210,GO:0006807,2,2,0.569617796
MRA_RS00210,GO:0044237,2,2,0.602212178
MRA_RS00210,GO:0044238,2,2,0.6554545079999999
MRA_RS00210,GO:0071704,2,2,0.76655216
MRA_RS00270,GO:0006807,2,2,0.5702878740000001
MRA_RS00270,GO:0044237,2,2,0.602982578
MRA_RS00270,GO:0044238,2,2,0.65721134
MRA_RS00270,GO:0071704,2,2,0.7683824680000001
MRA_RS00275,GO:0006807,2,2,0.56862576
MRA_RS00275,GO:0044237,2,2,0.600462532
MRA_RS00275,GO:0044238,2,2,0.6577964960000001
MRA_RS00275,GO:0071704,2,2,0.772672814
MRA_RS00285,GO:0006807,2,2,0.561811522
MRA_RS00285,GO:0044237,2,2,0.58899658
MRA_RS00285,GO:0044238,2,2,0.642453788
MRA_RS00285,GO:0071704,2,2,0.7481465780000001
MRA_RS00325,GO:0006807,2,2,0.563674048
MRA_RS00325,GO:0044237,2,2,0.591313392
MRA_RS00325,GO:0044238,2,2,0.646135386
MRA_RS00325,GO:0071704,2,2,0.75385994
MRA_RS00420,GO:0006807,2,2,0.567607152
MRA_RS00420,GO:0006810,3,3,0.701612692
MRA_RS00420,GO:0044237,2,2,0.59947878
MRA_RS00420,GO:0044238,2,2,0.651072262
MRA_RS00420,GO:0051234,2,2,0.701612692
MRA_RS00420,GO:0071704,2,2,0.76035574
MRA_RS00435,GO:0006807,2,2,0.5664940140000001
MRA_RS00435,GO:0044237,2,2,0.597252222
MRA_RS00435,GO:0044238,2,2,0.64827676
MRA_RS00435,GO:0071704,2,2,0.7548308579999999
MRA_RS00490,GO:0006807,2,2,0.562392712
MRA_RS00490,GO:0044237,2,2,0.590015294
MRA_RS00490,GO:0044238,2,2,0.6430555480000001
MRA_RS00490,GO:0071704,2,2,0.748874042
MRA_RS00540,GO:0006807,2,2,0.565736512
MRA_RS00540,GO:0044237,2,2,0.5957936
MRA_RS00540,GO:0044238,2,2,0.651582434
MRA_RS00540,GO:0071704,2,2,0.763237542
MRA_RS00575,GO:0006807,2,2,0.563032134
MRA_RS00575,GO:0044237,2,2,0.5912214899999999
MRA_RS00575,GO:0044238,2,2,0.64539491
MRA_RS00575,GO:0071704,2,2,0.75245758
MRA_RS00595,GO:0006807,2,2,0.5669173439999999
MRA_RS00595,GO:0044237,2,2,0.597950396
MRA_RS00595,GO:0044238,2,2,0.648786606
MRA_RS00595,GO:0071704,2,2,0.75583387
MRA_RS00665,GO:0006139,4,3,0.490572926
MRA_RS00665,GO:0006725,3,3,0.490572926
MRA_RS00665,GO:0006807,2,2,0.5695853879999999
MRA_RS00665,GO:0034641,3,3,0.490572926
MRA_RS00665,GO:0043170,3,3,0.490572926
MRA_RS00665,GO:0044237,2,2,0.6038742380000001
MRA_RS00665,GO:0044238,2,2,0.6562211400000001
MRA_RS00665,GO:0046483,3,3,0.490572926
MRA_RS00665,GO:0071704,2,2,0.76869926
MRA_RS00665,GO:0090304,5,4,0.490572926
MRA_RS00665,GO:1901360,3,3,0.490572926
MRA_RS00675,GO:0006807,2,2,0.572765634
MRA_RS00675,GO:0009058,2,2,0.5474282420000001
MRA_RS00675,GO:0009059,4,4,0.531766034
MRA_RS00675,GO:0009889,4,4,0.5474282420000001
MRA_RS00675,GO:0010468,5,5,0.5479149079999999
MRA_RS00675,GO:0010556,5,5,0.531766034
MRA_RS00675,GO:0019222,3,3,0.56312207
MRA_RS00675,GO:0031323,4,4,0.5474282420000001
MRA_RS00675,GO:0031326,5,5,0.5474282420000001
MRA_RS00675,GO:0043170,3,3,0.5479149079999999
MRA_RS00675,GO:0044237,2,2,0.5922487860000001
MRA_RS00675,GO:0044238,2,2,0.6459057159999999
MRA_RS00675,GO:0044249,3,3,0.5474282420000001
MRA_RS00675,GO:0050789,2,2,0.56312207
MRA_RS00675,GO:0050794,3,3,0.5474282420000001
MRA_RS00675,GO:0051171,4,4,0.56312207
MRA_RS00675,GO:0060255,4,4,0.5479149079999999
MRA_RS00675,GO:0071704,2,2,0.7535132219999999
MRA_RS00675,GO:0080090,4,4,0.53740547
MRA_RS00675,GO:1901576,3,3,0.531766034
MRA_RS00720,GO:0006807,2,2,0.5690689
MRA_RS00720,GO:0044237,2,2,0.6024835980000001
MRA_RS00720,GO:0044238,2,2,0.654724944
MRA_RS00720,GO:0071704,2,2,0.766215704
MRA_RS00750,GO:0006807,2,2,0.565011088
MRA_RS00750,GO:0044237,2,2,0.593785514
MRA_RS00750,GO:0044238,2,2,0.650790424
MRA_RS00750,GO:0071704,2,2,0.759953482
MRA_RS00765,GO:0006807,2,2,0.573331468
MRA_RS00765,GO:0044237,2,2,0.6087805099999999
MRA_RS00765,GO:0044238,2,2,0.6620048080000001
MRA_RS00765,GO:0071704,2,2,0.7772706100000001
MRA_RS00810,GO:0006807,2,2,0.566565196
MRA_RS00810,GO:0044237,2,2,0.5975397520000001
MRA_RS00810,GO:0044238,2,2,0.649127732
MRA_RS00810,GO:0071704,2,2,0.756313724
MRA_RS00910,GO:0006807,2,2,0.562845504
MRA_RS00910,GO:0006810,3,3,0.80182153
MRA_RS00910,GO:0044237,2,2,0.590995394
MRA_RS00910,GO:0044238,2,2,0.6452658139999999
MRA_RS00910,GO:0051234,2,2,0.841056912
MRA_RS00910,GO:0071704,2,2,0.752965902
MRA_RS00915,GO:0006807,2,2,0.566791144
MRA_RS00915,GO:0006810,3,3,0.579542126
MRA_RS00915,GO:0044237,2,2,0.5974611400000001
MRA_RS00915,GO:0044238,2,2,0.6549735240000001
MRA_RS00915,GO:0051234,2,2,0.579542126
MRA_RS00915,GO:0055085,4,2,0.437200626
MRA_RS00915,GO:0071704,2,2,0.7683290500000001
MRA_RS00995,GO:0006139,4,3,0.49460537
MRA_RS00995,GO:0006355,9,6,0.4790158639999999
MRA_RS00995,GO:0006725,3,3,0.49460537
MRA_RS00995,GO:0006807,2,2,0.656885974
MRA_RS00995,GO:0009058,2,2,0.6673992080000001
