Genes,Annotations,Depth,Level,Score
SP5448_RS00520,GO:0071704,2,2,0.681734234
SP5448_RS00625,GO:0006810,3,3,0.980757686
SP5448_RS00625,GO:0008104,4,4,0.928881606
SP5448_RS00625,GO:0015031,6,4,0.928881606
SP5448_RS00625,GO:0033036,2,2,0.928881606
SP5448_RS00625,GO:0045184,5,3,0.928881606
SP5448_RS00625,GO:0051234,2,2,0.980757686
SP5448_RS00625,GO:0051641,2,2,0.928881606
SP5448_RS00625,GO:0070727,3,3,0.928881606
SP5448_RS00625,GO:0071702,4,4,0.976990472
SP5448_RS00625,GO:0071704,2,2,0.693033252
SP5448_RS00625,GO:0071705,4,4,0.970061578
SP5448_RS00640,GO:0071704,2,2,0.691568066
SP5448_RS00675,GO:0071704,2,2,0.695107862
SP5448_RS00700,GO:0071704,2,2,0.68829651
SP5448_RS00725,GO:0071704,2,2,0.697974808
SP5448_RS00825,GO:0071704,2,2,0.681883306
SP5448_RS00860,GO:0071704,2,2,0.69204412
SP5448_RS00865,GO:0071704,2,2,0.692741802
SP5448_RS00965,GO:0071704,2,2,0.6861981060000001
SP5448_RS01180,GO:0071704,2,2,0.70425028
SP5448_RS01280,GO:0006810,3,3,0.8282477460000001
SP5448_RS01280,GO:0051234,2,2,0.830525044
SP5448_RS01280,GO:0071702,4,4,0.6663708399999999
SP5448_RS01280,GO:0071704,2,2,0.6901738159999999
SP5448_RS01495,GO:0071704,2,2,0.688510366
SP5448_RS01500,GO:0071704,2,2,0.6891375999999999
SP5448_RS01660,GO:0071704,2,2,0.6857033560000001
SP5448_RS01695,GO:0071704,2,2,0.6904123120000001
SP5448_RS02095,GO:0071704,2,2,0.6852270880000001
SP5448_RS02160,GO:0071704,2,2,0.7053196360000001
SP5448_RS02260,GO:0006810,3,3,0.8438256799999999
SP5448_RS02260,GO:0051234,2,2,0.8438256799999999
SP5448_RS02260,GO:0071702,4,4,0.722016258
SP5448_RS02260,GO:0071704,2,2,0.706679214
SP5448_RS02335,GO:0071704,2,2,0.7048854
SP5448_RS02490,GO:0071704,2,2,0.6784009639999999
SP5448_RS02530,GO:0071704,2,2,0.6925718240000001
SP5448_RS02635,GO:0006810,3,3,0.995948482
SP5448_RS02635,GO:0051234,2,2,0.996831532
SP5448_RS02635,GO:0071702,4,4,0.97625017
SP5448_RS02635,GO:0071704,2,2,0.6826697740000001
SP5448_RS02635,GO:0071705,4,4,0.8250122
SP5448_RS02640,GO:0071704,2,2,0.6822875359999999
SP5448_RS02960,GO:0006807,2,2,0.7461523879999999
SP5448_RS02960,GO:0009056,2,2,0.809356682
SP5448_RS02960,GO:0071704,2,2,0.809356682
SP5448_RS02960,GO:1901564,3,3,0.7461523879999999
SP5448_RS02960,GO:1901565,4,4,0.7461523879999999
SP5448_RS02960,GO:1901575,3,3,0.809356682
SP5448_RS02985,GO:0071704,2,2,0.6699935800000001
SP5448_RS02990,GO:0071704,2,2,0.675579452
SP5448_RS03000,GO:0071704,2,2,0.689969746
SP5448_RS03070,GO:0071704,2,2,0.6885021100000001
SP5448_RS03075,GO:0071704,2,2,0.678009298
SP5448_RS03145,GO:0071704,2,2,0.6860154460000001
SP5448_RS03185,GO:0071704,2,2,0.67950432
SP5448_RS03245,GO:0071704,2,2,0.6799942160000001
SP5448_RS03260,GO:0071704,2,2,0.6665725419999999
SP5448_RS03320,GO:0071704,2,2,0.6822534060000001
SP5448_RS03350,GO:0071704,2,2,0.675354982
SP5448_RS03395,GO:0071704,2,2,0.6929868320000001
SP5448_RS03415,GO:0071704,2,2,0.7038775700000001
SP5448_RS03420,GO:0071704,2,2,0.698836352
SP5448_RS03570,GO:0071704,2,2,0.6880804300000001
SP5448_RS03720,GO:0071704,2,2,0.6884889000000001
SP5448_RS03735,GO:0071704,2,2,0.6744563299999999
SP5448_RS03790,GO:0051234,2,2,0.6795052179999999
SP5448_RS03790,GO:0071704,2,2,0.6833621799999999
SP5448_RS03870,GO:0071704,2,2,0.6811222559999999
SP5448_RS03875,GO:0071704,2,2,0.6699475880000001
SP5448_RS04000,GO:0071704,2,2,0.6795978359999999
SP5448_RS04035,GO:0071704,2,2,0.687922186
SP5448_RS04090,GO:0071704,2,2,0.675752414
SP5448_RS04230,GO:0071704,2,2,0.680841698
SP5448_RS04255,GO:0071704,2,2,0.68400812
SP5448_RS04285,GO:0071704,2,2,0.664503376
SP5448_RS04355,GO:0071704,2,2,0.665139234
SP5448_RS04375,GO:0071704,2,2,0.675349832
SP5448_RS04400,GO:0071704,2,2,0.68044222
SP5448_RS04450,GO:0071704,2,2,0.685371162
SP5448_RS04530,GO:0006810,3,3,0.6778926719999999
SP5448_RS04530,GO:0051234,2,2,0.686676488
SP5448_RS04530,GO:0071704,2,2,0.6764025859999999
SP5448_RS04535,GO:0071704,2,2,0.678617586
SP5448_RS04550,GO:0071704,2,2,0.6844460320000001
SP5448_RS04590,GO:0071704,2,2,0.6677499060000001
SP5448_RS04810,GO:0071704,2,2,0.672744252
SP5448_RS04840,GO:0006412,7,4,0.776920994
SP5448_RS04840,GO:0006518,4,4,0.780846638
SP5448_RS04840,GO:0006807,2,2,0.816808604
SP5448_RS04840,GO:0009058,2,2,0.814781928
SP5448_RS04840,GO:0009059,4,4,0.776920994
SP5448_RS04840,GO:0019538,4,3,0.776920994
SP5448_RS04840,GO:0034641,3,3,0.814781928
SP5448_RS04840,GO:0043043,6,5,0.780846638
SP5448_RS04840,GO:0043170,3,3,0.776920994
SP5448_RS04840,GO:0043603,3,3,0.816808604
SP5448_RS04840,GO:0043604,5,4,0.814781928
SP5448_RS04840,GO:0044237,2,2,0.814781928
SP5448_RS04840,GO:0044238,2,2,0.776920994
SP5448_RS04840,GO:0044249,3,3,0.814781928
SP5448_RS04840,GO:0044271,4,4,0.814781928
