Genes,Annotations,Depth,Level,Score
ETEC_RS00085,GO:0006807,2,2,0.437313024
ETEC_RS00085,GO:0006810,3,3,0.339725766
ETEC_RS00085,GO:0044237,2,2,0.5024450699999999
ETEC_RS00085,GO:0044238,2,2,0.483809194
ETEC_RS00085,GO:0051234,2,2,0.341750946
ETEC_RS00085,GO:0071702,4,4,0.339725766
ETEC_RS00085,GO:0071704,2,2,0.60035237
ETEC_RS01120,GO:0006139,4,3,0.402797872
ETEC_RS01120,GO:0006725,3,3,0.402797872
ETEC_RS01120,GO:0006807,2,2,0.440173066
ETEC_RS01120,GO:0034641,3,3,0.402797872
ETEC_RS01120,GO:0043170,3,3,0.402797872
ETEC_RS01120,GO:0044237,2,2,0.50305024
ETEC_RS01120,GO:0044238,2,2,0.485425872
ETEC_RS01120,GO:0046483,3,3,0.402797872
ETEC_RS01120,GO:0071704,2,2,0.59434992
ETEC_RS01120,GO:0090304,5,4,0.402797872
ETEC_RS01120,GO:1901360,3,3,0.402797872
ETEC_RS01205,GO:0006807,2,2,0.4343460439999999
ETEC_RS01205,GO:0006810,3,3,0.450140754
ETEC_RS01205,GO:0044237,2,2,0.500470318
ETEC_RS01205,GO:0044238,2,2,0.4901523339999999
ETEC_RS01205,GO:0051234,2,2,0.467763588
ETEC_RS01205,GO:0071704,2,2,0.606921738
ETEC_RS01280,GO:0006807,2,2,0.440546148
ETEC_RS01280,GO:0044237,2,2,0.500522214
ETEC_RS01280,GO:0044238,2,2,0.49053107
ETEC_RS01280,GO:0071704,2,2,0.5965444099999999
ETEC_RS01535,GO:0006139,4,3,0.387111512
ETEC_RS01535,GO:0006259,6,4,0.387111512
ETEC_RS01535,GO:0006725,3,3,0.387111512
ETEC_RS01535,GO:0006807,2,2,0.439501654
ETEC_RS01535,GO:0034641,3,3,0.387111512
ETEC_RS01535,GO:0043170,3,3,0.387111512
ETEC_RS01535,GO:0044237,2,2,0.5024647879999999
ETEC_RS01535,GO:0044238,2,2,0.485026142
ETEC_RS01535,GO:0046483,3,3,0.387111512
ETEC_RS01535,GO:0071704,2,2,0.598405816
ETEC_RS01535,GO:0090304,5,4,0.387111512
ETEC_RS01535,GO:1901360,3,3,0.387111512
ETEC_RS01640,GO:0006807,2,2,0.437697216
ETEC_RS01640,GO:0044237,2,2,0.50095442
ETEC_RS01640,GO:0044238,2,2,0.490500864
ETEC_RS01640,GO:0071704,2,2,0.5994188640000001
ETEC_RS01700,GO:0006139,4,3,0.634653578
ETEC_RS01700,GO:0006259,6,4,0.37045668
ETEC_RS01700,GO:0006396,7,6,0.58169085
ETEC_RS01700,GO:0006399,8,7,0.5489796800000001
ETEC_RS01700,GO:0006725,3,3,0.634653578
ETEC_RS01700,GO:0006807,2,2,0.634653578
ETEC_RS01700,GO:0008033,9,8,0.48862977
ETEC_RS01700,GO:0009451,7,5,0.4443739260000001
ETEC_RS01700,GO:0016070,6,5,0.634653578
ETEC_RS01700,GO:0034470,8,7,0.58169085
ETEC_RS01700,GO:0034641,3,3,0.634653578
ETEC_RS01700,GO:0034660,7,6,0.634653578
ETEC_RS01700,GO:0043170,3,3,0.8106166
ETEC_RS01700,GO:0043412,4,4,0.8106166
ETEC_RS01700,GO:0044237,2,2,0.634653578
ETEC_RS01700,GO:0044238,2,2,0.634653578
ETEC_RS01700,GO:0046483,3,3,0.634653578
ETEC_RS01700,GO:0071704,2,2,0.8106166
ETEC_RS01700,GO:0090304,5,4,0.634653578
ETEC_RS01700,GO:1901360,3,3,0.634653578
ETEC_RS01720,GO:0006807,2,2,0.430699276
ETEC_RS01720,GO:0044237,2,2,0.499958374
ETEC_RS01720,GO:0044238,2,2,0.490417238
ETEC_RS01720,GO:0071704,2,2,0.611451172
ETEC_RS01725,GO:0006807,2,2,0.433460708
ETEC_RS01725,GO:0044237,2,2,0.500454236
ETEC_RS01725,GO:0044238,2,2,0.4891546659999999
ETEC_RS01725,GO:0071704,2,2,0.604860406
ETEC_RS01735,GO:0006139,4,3,0.348062488
ETEC_RS01735,GO:0006725,3,3,0.348062488
ETEC_RS01735,GO:0006807,2,2,0.4390102179999999
ETEC_RS01735,GO:0009058,2,2,0.337582444
ETEC_RS01735,GO:0009059,4,4,0.337582444
ETEC_RS01735,GO:0009889,4,4,0.337582444
ETEC_RS01735,GO:0010468,5,5,0.3665179559999999
ETEC_RS01735,GO:0010556,5,5,0.337582444
ETEC_RS01735,GO:0016070,6,5,0.348062488
ETEC_RS01735,GO:0019219,5,5,0.348062488
ETEC_RS01735,GO:0019222,3,3,0.4002044859999999
ETEC_RS01735,GO:0031323,4,4,0.348915478
ETEC_RS01735,GO:0034641,3,3,0.348062488
ETEC_RS01735,GO:0043170,3,3,0.4002044859999999
ETEC_RS01735,GO:0044237,2,2,0.501160896
ETEC_RS01735,GO:0044238,2,2,0.49148435
ETEC_RS01735,GO:0046483,3,3,0.348062488
ETEC_RS01735,GO:0050789,2,2,0.4002044859999999
ETEC_RS01735,GO:0050794,3,3,0.348915478
ETEC_RS01735,GO:0051171,4,4,0.373344774
ETEC_RS01735,GO:0051252,6,5,0.348062488
ETEC_RS01735,GO:0060255,4,4,0.4002044859999999
ETEC_RS01735,GO:0071704,2,2,0.5999122480000001
ETEC_RS01735,GO:0080090,4,4,0.363805612
ETEC_RS01735,GO:0090304,5,4,0.348062488
ETEC_RS01735,GO:1901360,3,3,0.348062488
ETEC_RS01735,GO:1901576,3,3,0.337582444
ETEC_RS01745,GO:0006807,2,2,0.437888028
ETEC_RS01745,GO:0044237,2,2,0.500969276
ETEC_RS01745,GO:0044238,2,2,0.487410578
ETEC_RS01745,GO:0071704,2,2,0.596765328
ETEC_RS01750,GO:0006139,4,3,0.3502461419999999
ETEC_RS01750,GO:0006355,9,6,0.3502461419999999
ETEC_RS01750,GO:0006725,3,3,0.3502461419999999
ETEC_RS01750,GO:0006807,2,2,0.439792078
ETEC_RS01750,GO:0009058,2,2,0.3828541359999999
ETEC_RS01750,GO:0009059,4,4,0.3828541359999999
ETEC_RS01750,GO:0009889,4,4,0.3828541359999999
ETEC_RS01750,GO:0010468,5,5,0.3502461419999999
ETEC_RS01750,GO:0010556,5,5,0.3828541359999999
ETEC_RS01750,GO:0016070,6,5,0.3502461419999999
ETEC_RS01750,GO:0018130,4,4,0.3502461419999999
ETEC_RS01750,GO:0019219,5,5,0.3502461419999999
ETEC_RS01750,GO:0019222,3,3,0.3828541359999999
ETEC_RS01750,GO:0019438,4,4,0.3502461419999999
ETEC_RS01750,GO:0031323,4,4,0.3502461419999999
ETEC_RS01750,GO:0031326,5,5,0.3502461419999999
ETEC_RS01750,GO:0032774,7,5,0.3502461419999999
ETEC_RS01750,GO:0034641,3,3,0.3502461419999999
ETEC_RS01750,GO:0034654,5,4,0.3502461419999999
ETEC_RS01750,GO:0043170,3,3,0.3828541359999999
ETEC_RS01750,GO:0044237,2,2,0.5009393600000001
ETEC_RS01750,GO:0044238,2,2,0.490418004
ETEC_RS01750,GO:0044249,3,3,0.3502461419999999
ETEC_RS01750,GO:0044271,4,4,0.3502461419999999
ETEC_RS01750,GO:0046483,3,3,0.3502461419999999
ETEC_RS01750,GO:0050789,2,2,0.3828541359999999
ETEC_RS01750,GO:0050794,3,3,0.3502461419999999
ETEC_RS01750,GO:0051171,4,4,0.3502461419999999
ETEC_RS01750,GO:0051252,6,5,0.3502461419999999
ETEC_RS01750,GO:0060255,4,4,0.3828541359999999
ETEC_RS01750,GO:0071704,2,2,0.59769674
ETEC_RS01750,GO:0080090,4,4,0.3502461419999999
ETEC_RS01750,GO:0090304,5,4,0.3502461419999999
ETEC_RS01750,GO:1901360,3,3,0.3502461419999999
ETEC_RS01750,GO:1901362,4,4,0.3502461419999999
ETEC_RS01750,GO:1901576,3,3,0.3828541359999999
ETEC_RS01750,GO:2001141,7,6,0.3502461419999999
ETEC_RS01770,GO:0006807,2,2,0.435952028
ETEC_RS01770,GO:0044237,2,2,0.500666676
ETEC_RS01770,GO:0044238,2,2,0.489797802
ETEC_RS01770,GO:0071704,2,2,0.6031964080000001
ETEC_RS01775,GO:0006807,2,2,0.437545688
ETEC_RS01775,GO:0044237,2,2,0.5007642019999999
ETEC_RS01775,GO:0044238,2,2,0.490094996
ETEC_RS01775,GO:0071704,2,2,0.6018259539999999
ETEC_RS01800,GO:0006082,3,3,0.376826574
ETEC_RS01800,GO:0006807,2,2,0.435199882
ETEC_RS01800,GO:0019752,5,5,0.364911254
ETEC_RS01800,GO:0043436,4,4,0.364911254
ETEC_RS01800,GO:0044237,2,2,0.5005505539999999
ETEC_RS01800,GO:0044238,2,2,0.48955453
ETEC_RS01800,GO:0044281,2,2,0.376826574
ETEC_RS01800,GO:0071704,2,2,0.602732702
ETEC_RS01815,GO:0006807,2,2,0.433120748
ETEC_RS01815,GO:0009058,2,2,0.404990982
ETEC_RS01815,GO:0009059,4,4,0.388685752
ETEC_RS01815,GO:0009889,4,4,0.404990982
