Genes,Annotations,Depth,Level,Score
CE206_RS00740,GO:0044237,2,2,0.5004602520000001
CE206_RS00740,GO:0071704,2,2,0.5333717
CE206_RS00755,GO:0006139,4,3,0.96563597
CE206_RS00755,GO:0006355,9,6,0.910175784
CE206_RS00755,GO:0006725,3,3,0.96563597
CE206_RS00755,GO:0006807,2,2,0.96563597
CE206_RS00755,GO:0009058,2,2,0.91020955
CE206_RS00755,GO:0009059,4,4,0.91020955
CE206_RS00755,GO:0009889,4,4,0.91020955
CE206_RS00755,GO:0010468,5,5,0.910175784
CE206_RS00755,GO:0010556,5,5,0.91020955
CE206_RS00755,GO:0016070,6,5,0.92378952
CE206_RS00755,GO:0018130,4,4,0.91020955
CE206_RS00755,GO:0019219,5,5,0.96563597
CE206_RS00755,GO:0019222,3,3,0.96563597
CE206_RS00755,GO:0019438,4,4,0.91020955
CE206_RS00755,GO:0031323,4,4,0.96563597
CE206_RS00755,GO:0031326,5,5,0.91020955
CE206_RS00755,GO:0032774,7,5,0.91020955
CE206_RS00755,GO:0034641,3,3,0.96563597
CE206_RS00755,GO:0034654,5,4,0.91020955
CE206_RS00755,GO:0043170,3,3,0.92378952
CE206_RS00755,GO:0044237,2,2,0.96563597
CE206_RS00755,GO:0044238,2,2,0.96563597
CE206_RS00755,GO:0044249,3,3,0.91020955
CE206_RS00755,GO:0044271,4,4,0.91020955
CE206_RS00755,GO:0046483,3,3,0.96563597
CE206_RS00755,GO:0050789,2,2,0.96563597
CE206_RS00755,GO:0050794,3,3,0.96563597
CE206_RS00755,GO:0051171,4,4,0.96563597
CE206_RS00755,GO:0051252,6,5,0.92378952
CE206_RS00755,GO:0060255,4,4,0.92378952
CE206_RS00755,GO:0071704,2,2,0.96563597
CE206_RS00755,GO:0080090,4,4,0.96563597
CE206_RS00755,GO:0090304,5,4,0.92378952
CE206_RS00755,GO:1901360,3,3,0.96563597
CE206_RS00755,GO:1901362,4,4,0.91020955
CE206_RS00755,GO:1901576,3,3,0.91020955
CE206_RS00755,GO:2001141,7,6,0.91020955
CE206_RS00970,GO:0044237,2,2,0.4982364619999999
CE206_RS00970,GO:0071704,2,2,0.535358936
CE206_RS00975,GO:0044237,2,2,0.4985010219999999
CE206_RS00975,GO:0071704,2,2,0.53678025
CE206_RS01085,GO:0044237,2,2,0.497647174
CE206_RS01085,GO:0071704,2,2,0.53409926
CE206_RS01155,GO:0044237,2,2,0.499000018
CE206_RS01155,GO:0071704,2,2,0.532269918
CE206_RS01490,GO:0006139,4,3,0.4808660880000001
CE206_RS01490,GO:0006355,9,6,0.4808660880000001
CE206_RS01490,GO:0006725,3,3,0.4808660880000001
CE206_RS01490,GO:0006807,2,2,0.4808660880000001
CE206_RS01490,GO:0009058,2,2,0.4808660880000001
CE206_RS01490,GO:0009059,4,4,0.4808660880000001
CE206_RS01490,GO:0009889,4,4,0.4808660880000001
CE206_RS01490,GO:0010468,5,5,0.4808660880000001
CE206_RS01490,GO:0010556,5,5,0.4808660880000001
CE206_RS01490,GO:0016070,6,5,0.4808660880000001
CE206_RS01490,GO:0018130,4,4,0.4808660880000001
CE206_RS01490,GO:0019219,5,5,0.4808660880000001
CE206_RS01490,GO:0019222,3,3,0.4808660880000001
CE206_RS01490,GO:0019438,4,4,0.4808660880000001
CE206_RS01490,GO:0031323,4,4,0.4808660880000001
CE206_RS01490,GO:0031326,5,5,0.4808660880000001
CE206_RS01490,GO:0032774,7,5,0.4808660880000001
CE206_RS01490,GO:0034641,3,3,0.4808660880000001
CE206_RS01490,GO:0034654,5,4,0.4808660880000001
CE206_RS01490,GO:0043170,3,3,0.4808660880000001
CE206_RS01490,GO:0044237,2,2,0.4996918559999999
CE206_RS01490,GO:0044238,2,2,0.4808660880000001
CE206_RS01490,GO:0044249,3,3,0.4808660880000001
CE206_RS01490,GO:0044271,4,4,0.4808660880000001
CE206_RS01490,GO:0046483,3,3,0.4808660880000001
CE206_RS01490,GO:0050789,2,2,0.4808660880000001
CE206_RS01490,GO:0050794,3,3,0.4808660880000001
CE206_RS01490,GO:0051171,4,4,0.4808660880000001
CE206_RS01490,GO:0051252,6,5,0.4808660880000001
CE206_RS01490,GO:0060255,4,4,0.4808660880000001
CE206_RS01490,GO:0071704,2,2,0.5328573
CE206_RS01490,GO:0080090,4,4,0.4808660880000001
CE206_RS01490,GO:0090304,5,4,0.4808660880000001
CE206_RS01490,GO:1901360,3,3,0.4808660880000001
CE206_RS01490,GO:1901362,4,4,0.4808660880000001
CE206_RS01490,GO:1901576,3,3,0.4808660880000001
CE206_RS01490,GO:2001141,7,6,0.4808660880000001
CE206_RS01495,GO:0044237,2,2,0.497896844
CE206_RS01495,GO:0071704,2,2,0.535571736
CE206_RS01685,GO:0016043,3,3,0.562235
CE206_RS01685,GO:0044237,2,2,0.49896234
CE206_RS01685,GO:0071704,2,2,0.5331655040000001
CE206_RS01685,GO:0071840,2,2,0.562235
CE206_RS01735,GO:0044237,2,2,0.4977267439999999
CE206_RS01735,GO:0071704,2,2,0.535662436
CE206_RS01835,GO:0044237,2,2,0.497637836
CE206_RS01835,GO:0071704,2,2,0.5357388120000001
CE206_RS02100,GO:0044237,2,2,0.5005859859999999
CE206_RS02100,GO:0071704,2,2,0.536483034
CE206_RS02135,GO:0044237,2,2,0.497805462
CE206_RS02135,GO:0071704,2,2,0.5345844200000001
CE206_RS02485,GO:0044237,2,2,0.50143486
CE206_RS02485,GO:0071704,2,2,0.5325842599999999
CE206_RS02565,GO:0044237,2,2,0.499055856
CE206_RS02565,GO:0071704,2,2,0.5324529659999999
CE206_RS02670,GO:0044237,2,2,0.497228498
CE206_RS02670,GO:0071704,2,2,0.534734788
CE206_RS02845,GO:0006139,4,3,0.4712513319999999
CE206_RS02845,GO:0006725,3,3,0.4712513319999999
CE206_RS02845,GO:0006807,2,2,0.4712513319999999
CE206_RS02845,GO:0009058,2,2,0.4712513319999999
CE206_RS02845,GO:0009059,4,4,0.4712513319999999
CE206_RS02845,GO:0009889,4,4,0.4712513319999999
CE206_RS02845,GO:0010556,5,5,0.4712513319999999
CE206_RS02845,GO:0016070,6,5,0.4712513319999999
CE206_RS02845,GO:0018130,4,4,0.4712513319999999
CE206_RS02845,GO:0019219,5,5,0.4712513319999999
CE206_RS02845,GO:0019222,3,3,0.4712513319999999
CE206_RS02845,GO:0019438,4,4,0.4712513319999999
CE206_RS02845,GO:0031323,4,4,0.4712513319999999
CE206_RS02845,GO:0031326,5,5,0.4712513319999999
CE206_RS02845,GO:0032774,7,5,0.4712513319999999
CE206_RS02845,GO:0034641,3,3,0.4712513319999999
CE206_RS02845,GO:0034654,5,4,0.4712513319999999
CE206_RS02845,GO:0043170,3,3,0.4712513319999999
CE206_RS02845,GO:0044237,2,2,0.496727486
CE206_RS02845,GO:0044238,2,2,0.4712513319999999
CE206_RS02845,GO:0044249,3,3,0.4712513319999999
CE206_RS02845,GO:0044271,4,4,0.4712513319999999
CE206_RS02845,GO:0046483,3,3,0.4712513319999999
CE206_RS02845,GO:0050789,2,2,0.4712513319999999
CE206_RS02845,GO:0050794,3,3,0.4712513319999999
CE206_RS02845,GO:0051171,4,4,0.4712513319999999
CE206_RS02845,GO:0051252,6,5,0.4712513319999999
CE206_RS02845,GO:0060255,4,4,0.4712513319999999
CE206_RS02845,GO:0071704,2,2,0.53434204
CE206_RS02845,GO:0080090,4,4,0.4712513319999999
CE206_RS02845,GO:0090304,5,4,0.4712513319999999
CE206_RS02845,GO:1901360,3,3,0.4712513319999999
