Genes,Annotations,Depth,Level,Score
SL1344_RS00100,GO:0006807,2,2,0.427984498
SL1344_RS00100,GO:0044237,2,2,0.484261358
SL1344_RS00100,GO:0044238,2,2,0.4731930059999999
SL1344_RS00100,GO:0071704,2,2,0.57460502
SL1344_RS00175,GO:0006022,4,4,0.340930466
SL1344_RS00175,GO:0006807,2,2,0.416340064
SL1344_RS00175,GO:0043170,3,3,0.340930466
SL1344_RS00175,GO:0044237,2,2,0.4816774179999999
SL1344_RS00175,GO:0044238,2,2,0.465555064
SL1344_RS00175,GO:0071704,2,2,0.580880346
SL1344_RS00175,GO:1901135,3,3,0.340930466
SL1344_RS00175,GO:1901564,3,3,0.340930466
SL1344_RS00505,GO:0006807,2,2,0.4242136739999999
SL1344_RS00505,GO:0044237,2,2,0.483949852
SL1344_RS00505,GO:0044238,2,2,0.471471818
SL1344_RS00505,GO:0071704,2,2,0.574926744
SL1344_RS01370,GO:0006807,2,2,0.425688696
SL1344_RS01370,GO:0044237,2,2,0.485598616
SL1344_RS01370,GO:0044238,2,2,0.470462166
SL1344_RS01370,GO:0071704,2,2,0.5719131519999999
SL1344_RS01395,GO:0006807,2,2,0.4272654539999999
SL1344_RS01395,GO:0044237,2,2,0.4837418839999999
SL1344_RS01395,GO:0044238,2,2,0.471403384
SL1344_RS01395,GO:0071704,2,2,0.5759289799999999
SL1344_RS01405,GO:0006807,2,2,0.419854052
SL1344_RS01405,GO:0044237,2,2,0.48347233
SL1344_RS01405,GO:0044238,2,2,0.468455232
SL1344_RS01405,GO:0071704,2,2,0.58117169
SL1344_RS01440,GO:0006807,2,2,0.4060000279999999
SL1344_RS01440,GO:0044237,2,2,0.474660154
SL1344_RS01440,GO:0044238,2,2,0.461537278
SL1344_RS01440,GO:0071704,2,2,0.59237909
SL1344_RS01460,GO:0006807,2,2,0.415874682
SL1344_RS01460,GO:0044237,2,2,0.480143502
SL1344_RS01460,GO:0044238,2,2,0.4670547479999999
SL1344_RS01460,GO:0071704,2,2,0.58428057
SL1344_RS01480,GO:0006807,2,2,0.42520606
SL1344_RS01480,GO:0044237,2,2,0.484619278
SL1344_RS01480,GO:0044238,2,2,0.471970838
SL1344_RS01480,GO:0071704,2,2,0.576698146
SL1344_RS01490,GO:0006139,4,3,0.743723636
SL1344_RS01490,GO:0006355,9,6,0.513079656
SL1344_RS01490,GO:0006725,3,3,0.743723636
SL1344_RS01490,GO:0006807,2,2,0.743723636
SL1344_RS01490,GO:0009058,2,2,0.532114444
SL1344_RS01490,GO:0009059,4,4,0.532114444
SL1344_RS01490,GO:0009889,4,4,0.532114444
SL1344_RS01490,GO:0010468,5,5,0.513079656
SL1344_RS01490,GO:0010556,5,5,0.532114444
SL1344_RS01490,GO:0016070,6,5,0.743723636
SL1344_RS01490,GO:0018130,4,4,0.532114444
SL1344_RS01490,GO:0019219,5,5,0.743723636
SL1344_RS01490,GO:0019222,3,3,0.743723636
