Genes,Annotations,Depth,Level,Score
NTHI_RS00420,GO:0006807,2,2,0.571711404
NTHI_RS00420,GO:0044237,2,2,0.60931356
NTHI_RS00420,GO:0044238,2,2,0.5764245539999999
NTHI_RS00420,GO:0071704,2,2,0.69956505
NTHI_RS00610,GO:0006807,2,2,0.570861682
NTHI_RS00610,GO:0044237,2,2,0.6073071800000001
NTHI_RS00610,GO:0044238,2,2,0.5761441900000001
NTHI_RS00610,GO:0071704,2,2,0.696322372
NTHI_RS00840,GO:0006807,2,2,0.575094028
NTHI_RS00840,GO:0044237,2,2,0.614473508
NTHI_RS00840,GO:0044238,2,2,0.579976126
NTHI_RS00840,GO:0071704,2,2,0.708219358
NTHI_RS01075,GO:0006807,2,2,0.5703809740000001
NTHI_RS01075,GO:0006810,3,3,0.462541366
NTHI_RS01075,GO:0008104,4,4,0.4577212739999999
NTHI_RS01075,GO:0015031,6,4,0.421110296
NTHI_RS01075,GO:0033036,2,2,0.523022424
NTHI_RS01075,GO:0044237,2,2,0.607600874
NTHI_RS01075,GO:0044238,2,2,0.575688792
NTHI_RS01075,GO:0045184,5,3,0.4577212739999999
NTHI_RS01075,GO:0051234,2,2,0.47276244
NTHI_RS01075,GO:0051641,2,2,0.523022424
NTHI_RS01075,GO:0070727,3,3,0.523022424
NTHI_RS01075,GO:0071702,4,4,0.4609238519999999
NTHI_RS01075,GO:0071704,2,2,0.6965063220000001
NTHI_RS01075,GO:0071705,4,4,0.4525553139999999
NTHI_RS01225,GO:0006807,2,2,0.5654266
NTHI_RS01225,GO:0044237,2,2,0.604553786
NTHI_RS01225,GO:0044238,2,2,0.569103652
NTHI_RS01225,GO:0071704,2,2,0.700618304
NTHI_RS01295,GO:0006807,2,2,0.567471766
NTHI_RS01295,GO:0044237,2,2,0.6071596699999999
NTHI_RS01295,GO:0044238,2,2,0.5716304999999999
NTHI_RS01295,GO:0071704,2,2,0.7059430219999999
NTHI_RS01615,GO:0006807,2,2,0.564126188
NTHI_RS01615,GO:0044237,2,2,0.602944534
NTHI_RS01615,GO:0044238,2,2,0.56662346
NTHI_RS01615,GO:0071704,2,2,0.6969007420000001
