Genes,Annotations,Depth,Level,Score
VC0017,GO:0006807,2,2,0.4526221279999999
VC0017,GO:0044237,2,2,0.4889369800000001
VC0017,GO:0044238,2,2,0.478795646
VC0017,GO:0071704,2,2,0.5676515240000001
VC0025,GO:0006807,2,2,0.4519891279999999
VC0025,GO:0006810,3,3,0.4104659140000001
VC0025,GO:0044237,2,2,0.4883005299999999
VC0025,GO:0044238,2,2,0.478601884
VC0025,GO:0051234,2,2,0.413567974
VC0025,GO:0071704,2,2,0.5676229639999999
VC0038,GO:0006412,7,4,0.6390100799999999
VC0038,GO:0006518,4,4,0.75817692
VC0038,GO:0006807,2,2,0.75817692
VC0038,GO:0009058,2,2,0.748721286
VC0038,GO:0009059,4,4,0.6390100799999999
VC0038,GO:0019538,4,3,0.6390100799999999
VC0038,GO:0034641,3,3,0.748721286
VC0038,GO:0043043,6,5,0.72646464
VC0038,GO:0043170,3,3,0.6390100799999999
VC0038,GO:0043603,3,3,0.75817692
VC0038,GO:0043604,5,4,0.748721286
VC0038,GO:0044237,2,2,0.748721286
VC0038,GO:0044238,2,2,0.6390100799999999
VC0038,GO:0044249,3,3,0.748721286
VC0038,GO:0044271,4,4,0.748721286
VC0038,GO:0071704,2,2,0.75817692
VC0038,GO:1901564,3,3,0.75817692
VC0038,GO:1901566,4,4,0.72646464
VC0038,GO:1901576,3,3,0.72646464
VC0041,GO:0006807,2,2,0.456461122
VC0041,GO:0044237,2,2,0.494068696
VC0041,GO:0044238,2,2,0.477572168
VC0041,GO:0071704,2,2,0.563192526
VC0057,GO:0006807,2,2,0.455686404
VC0057,GO:0019222,3,3,0.3708480899999999
VC0057,GO:0031323,4,4,0.335118938
VC0057,GO:0043170,3,3,0.3701771199999999
VC0057,GO:0044237,2,2,0.490611204
VC0057,GO:0044238,2,2,0.480384688
VC0057,GO:0050789,2,2,0.3708480899999999
VC0057,GO:0050794,3,3,0.335118938
VC0057,GO:0051171,4,4,0.3427492159999999
VC0057,GO:0060255,4,4,0.3701771199999999
VC0057,GO:0071704,2,2,0.565766334
VC0059,GO:0006807,2,2,0.454770686
VC0059,GO:0043603,3,3,0.359097188
VC0059,GO:0044237,2,2,0.491218808
VC0059,GO:0044238,2,2,0.480276708
VC0059,GO:0071704,2,2,0.5768787
VC0070,GO:0006139,4,3,0.824161486
VC0070,GO:0006351,9,7,0.6006884040000001
VC0070,GO:0006355,9,6,0.6006884040000001
VC0070,GO:0006725,3,3,0.824161486
VC0070,GO:0006807,2,2,0.824161486
VC0070,GO:0009058,2,2,0.605668044
VC0070,GO:0009059,4,4,0.604631632
VC0070,GO:0009889,4,4,0.605668044
VC0070,GO:0010468,5,5,0.6050569859999999
VC0070,GO:0010556,5,5,0.604631632
VC0070,GO:0016070,6,5,0.660066442
VC0070,GO:0018130,4,4,0.604631632
VC0070,GO:0019219,5,5,0.824161486
VC0070,GO:0019222,3,3,0.825641102
VC0070,GO:0019438,4,4,0.604631632
VC0070,GO:0031323,4,4,0.824161486
VC0070,GO:0031326,5,5,0.604631632
VC0070,GO:0032774,7,5,0.604631632
VC0070,GO:0034641,3,3,0.824161486
VC0070,GO:0034654,5,4,0.604631632
VC0070,GO:0043170,3,3,0.8142488419999999
VC0070,GO:0044237,2,2,0.824161486
VC0070,GO:0044238,2,2,0.824161486
VC0070,GO:0044249,3,3,0.604631632
VC0070,GO:0044271,4,4,0.604631632
VC0070,GO:0046483,3,3,0.824161486
VC0070,GO:0050789,2,2,0.825641102
VC0070,GO:0050794,3,3,0.824161486
VC0070,GO:0051171,4,4,0.824161486
VC0070,GO:0051252,6,5,0.660066442
VC0070,GO:0060255,4,4,0.8142488419999999
VC0070,GO:0071704,2,2,0.824161486
VC0070,GO:0080090,4,4,0.824161486
VC0070,GO:0090304,5,4,0.660066442
VC0070,GO:1901360,3,3,0.824161486
VC0070,GO:1901362,4,4,0.604631632
VC0070,GO:1901576,3,3,0.604631632
VC0070,GO:2001141,7,6,0.604631632
VC0074,GO:0006807,2,2,0.455674734
VC0074,GO:0044237,2,2,0.490820724
VC0074,GO:0044238,2,2,0.480623354
VC0074,GO:0071704,2,2,0.570397444
VC0106,GO:0006139,4,3,0.5451124279999999
VC0106,GO:0006351,9,7,0.5170508220000001
VC0106,GO:0006355,9,6,0.5170508220000001
VC0106,GO:0006725,3,3,0.5451124279999999
VC0106,GO:0006807,2,2,0.547731612
VC0106,GO:0009058,2,2,0.583916588
VC0106,GO:0009059,4,4,0.583916588
VC0106,GO:0009889,4,4,0.583916588
VC0106,GO:0010468,5,5,0.562481504
VC0106,GO:0010556,5,5,0.583916588
VC0106,GO:0016070,6,5,0.544729656
VC0106,GO:0018130,4,4,0.518005688
VC0106,GO:0019219,5,5,0.5451124279999999
VC0106,GO:0019222,3,3,0.583916588
VC0106,GO:0019438,4,4,0.518005688
VC0106,GO:0031323,4,4,0.5451124279999999
VC0106,GO:0031326,5,5,0.5337911519999998
VC0106,GO:0032774,7,5,0.518005688
VC0106,GO:0034641,3,3,0.5451124279999999
VC0106,GO:0034654,5,4,0.518005688
VC0106,GO:0043170,3,3,0.583916588
VC0106,GO:0044237,2,2,0.5451124279999999
VC0106,GO:0044238,2,2,0.5514243480000001
VC0106,GO:0044249,3,3,0.5337911519999998
VC0106,GO:0044271,4,4,0.518005688
VC0106,GO:0046483,3,3,0.5451124279999999
VC0106,GO:0050789,2,2,0.583916588
VC0106,GO:0050794,3,3,0.5451124279999999
VC0106,GO:0051171,4,4,0.547731612
VC0106,GO:0051252,6,5,0.544729656
VC0106,GO:0060255,4,4,0.583916588
VC0106,GO:0071704,2,2,0.586969588
VC0106,GO:0080090,4,4,0.5514243480000001
VC0106,GO:0090304,5,4,0.544729656
VC0106,GO:1901360,3,3,0.5451124279999999
VC0106,GO:1901362,4,4,0.518005688
VC0106,GO:1901576,3,3,0.583916588
VC0106,GO:2001141,7,6,0.518005688
VC0121,GO:0006807,2,2,0.446575032
VC0121,GO:0044237,2,2,0.49081356
VC0121,GO:0044238,2,2,0.4769261539999999
VC0121,GO:0071704,2,2,0.5817465799999999
VC0140,GO:0006807,2,2,0.456572738
VC0140,GO:0006810,3,3,0.340092106
VC0140,GO:0044237,2,2,0.493525404
VC0140,GO:0044238,2,2,0.4774354759999999
VC0140,GO:0051234,2,2,0.34282183
VC0140,GO:0071704,2,2,0.563820358
VC0142,GO:0006807,2,2,0.452378294
VC0142,GO:0044237,2,2,0.488912438
VC0142,GO:0044238,2,2,0.479939812
VC0142,GO:0071704,2,2,0.568318596
VC0143,GO:0006807,2,2,0.448416692
VC0143,GO:0044237,2,2,0.4869718319999999
VC0143,GO:0044238,2,2,0.478411614
VC0143,GO:0071704,2,2,0.573073968
VC0145,GO:0006807,2,2,0.4555905079999999
VC0145,GO:0006810,3,3,0.3439624699999999
VC0145,GO:0044237,2,2,0.493558134
VC0145,GO:0044238,2,2,0.477845556
VC0145,GO:0051234,2,2,0.34980847
VC0145,GO:0071704,2,2,0.56431422
VC0174,GO:0006807,2,2,0.454815178
VC0174,GO:0044237,2,2,0.490101228
VC0174,GO:0044238,2,2,0.481074546
VC0174,GO:0071704,2,2,0.5667020460000001
VC0182,GO:0006139,4,3,0.36572475
VC0182,GO:0006351,9,7,0.36572475
VC0182,GO:0006355,9,6,0.36572475
VC0182,GO:0006725,3,3,0.36572475
VC0182,GO:0006807,2,2,0.454463454
VC0182,GO:0009058,2,2,0.36572475
VC0182,GO:0009059,4,4,0.36572475
VC0182,GO:0009889,4,4,0.36572475
VC0182,GO:0010468,5,5,0.36572475
VC0182,GO:0010556,5,5,0.36572475
VC0182,GO:0016043,3,3,0.34823894
VC0182,GO:0016070,6,5,0.36572475
VC0182,GO:0018130,4,4,0.36572475
VC0182,GO:0019219,5,5,0.36572475
VC0182,GO:0019222,3,3,0.36572475
VC0182,GO:0019438,4,4,0.36572475
VC0182,GO:0031323,4,4,0.36572475
VC0182,GO:0031326,5,5,0.36572475
VC0182,GO:0032774,7,5,0.36572475
VC0182,GO:0034641,3,3,0.36572475
VC0182,GO:0034654,5,4,0.36572475
VC0182,GO:0043170,3,3,0.36572475
VC0182,GO:0044237,2,2,0.4926827399999999
VC0182,GO:0044238,2,2,0.4776018439999999
VC0182,GO:0044249,3,3,0.36572475
VC0182,GO:0044271,4,4,0.36572475
VC0182,GO:0046483,3,3,0.36572475
VC0182,GO:0050789,2,2,0.36572475
VC0182,GO:0050794,3,3,0.36572475
VC0182,GO:0051171,4,4,0.36572475
VC0182,GO:0051252,6,5,0.36572475
VC0182,GO:0060255,4,4,0.36572475
VC0182,GO:0071704,2,2,0.5654587980000001
VC0182,GO:0071840,2,2,0.34823894
VC0182,GO:0080090,4,4,0.36572475
VC0182,GO:0090304,5,4,0.36572475
VC0182,GO:1901360,3,3,0.36572475
VC0182,GO:1901362,4,4,0.36572475
VC0182,GO:1901576,3,3,0.36572475
VC0182,GO:2001141,7,6,0.36572475
VC0184,GO:0006807,2,2,0.456405994
VC0184,GO:0044237,2,2,0.4935647
VC0184,GO:0044238,2,2,0.47828284
VC0184,GO:0071704,2,2,0.563252316
VC0220,GO:0006807,2,2,0.4576346619999999
VC0220,GO:0006810,3,3,0.419051202
VC0220,GO:0044237,2,2,0.490931534
VC0220,GO:0044238,2,2,0.48221082
VC0220,GO:0051234,2,2,0.419051202
VC0220,GO:0071704,2,2,0.566658106
VC0228,GO:0006807,2,2,0.458025182
VC0228,GO:0044237,2,2,0.49090619
VC0228,GO:0044238,2,2,0.4824478359999999
VC0228,GO:0071704,2,2,0.564859462
VC0248,GO:0006807,2,2,0.457566978
VC0248,GO:0044237,2,2,0.49071372
VC0248,GO:0044238,2,2,0.482384402
VC0248,GO:0071704,2,2,0.56498151
VC0248,GO:0071840,2,2,0.36427455
VC0255,GO:0006807,2,2,0.456626648
VC0255,GO:0044237,2,2,0.490431482
VC0255,GO:0044238,2,2,0.482326104
VC0255,GO:0071704,2,2,0.566459182
VC0266,GO:0006139,4,3,0.70477258
VC0266,GO:0006259,6,4,0.70477258
VC0266,GO:0006281,7,5,0.42719294
VC0266,GO:0006725,3,3,0.70477258
VC0266,GO:0006807,2,2,0.70477258
VC0266,GO:0006950,2,2,0.450116654
VC0266,GO:0006974,4,4,0.432591656
VC0266,GO:0033554,3,3,0.450116654
VC0266,GO:0034641,3,3,0.70477258
VC0266,GO:0043170,3,3,0.70477258
VC0266,GO:0044237,2,2,0.70477258
VC0266,GO:0044238,2,2,0.70477258
VC0266,GO:0046483,3,3,0.70477258
VC0266,GO:0051716,2,2,0.450116654
VC0266,GO:0071704,2,2,0.70477258
VC0266,GO:0090304,5,4,0.70477258
VC0266,GO:1901360,3,3,0.70477258
VC0308,GO:0006807,2,2,0.4541167499999999
VC0308,GO:0044237,2,2,0.488558918
VC0308,GO:0044238,2,2,0.481421656
VC0308,GO:0071704,2,2,0.5662123600000001
VC0334,GO:0006807,2,2,0.456386708
VC0334,GO:0009058,2,2,0.388342654
VC0334,GO:0009059,4,4,0.357402952
VC0334,GO:0009889,4,4,0.388342654
VC0334,GO:0010556,5,5,0.357402952
VC0334,GO:0019222,3,3,0.388342654
VC0334,GO:0031323,4,4,0.359287502
VC0334,GO:0031326,5,5,0.359287502
VC0334,GO:0043170,3,3,0.357402952
VC0334,GO:0044237,2,2,0.489448526
VC0334,GO:0044238,2,2,0.4822624839999999
VC0334,GO:0044249,3,3,0.359287502
VC0334,GO:0050789,2,2,0.388342654
VC0334,GO:0050794,3,3,0.359287502
VC0334,GO:0060255,4,4,0.357402952
VC0334,GO:0071704,2,2,0.5645146480000001
VC0334,GO:1901576,3,3,0.357402952
VC0382,GO:0006807,2,2,0.45920148
VC0382,GO:0044237,2,2,0.4879156619999999
VC0382,GO:0044238,2,2,0.4834175999999999
VC0382,GO:0071704,2,2,0.555189684
VC0457,GO:0006807,2,2,0.4552660659999999
VC0457,GO:0044237,2,2,0.491409826
VC0457,GO:0044238,2,2,0.478784512
VC0457,GO:0071704,2,2,0.562527098
VC0492,GO:0006139,4,3,0.382567378
VC0492,GO:0006259,6,4,0.382567378
VC0492,GO:0006725,3,3,0.382567378
VC0492,GO:0006807,2,2,0.455689796
VC0492,GO:0034641,3,3,0.382567378
VC0492,GO:0043170,3,3,0.382567378
VC0492,GO:0044237,2,2,0.490909084
VC0492,GO:0044238,2,2,0.478947108
VC0492,GO:0046483,3,3,0.382567378
VC0492,GO:0071704,2,2,0.5610722779999999
VC0492,GO:0090304,5,4,0.382567378
VC0492,GO:1901360,3,3,0.382567378
VC0493,GO:0006139,4,3,0.367833958
VC0493,GO:0006725,3,3,0.367833958
VC0493,GO:0006807,2,2,0.4579158059999999
VC0493,GO:0009058,2,2,0.421867794
VC0493,GO:0009059,4,4,0.420022266
