Genes,Annotations,Depth,Level,Score
KPN_RS00025,GO:0006807,2,2,0.4321008
KPN_RS00025,GO:0044237,2,2,0.503695224
KPN_RS00025,GO:0044238,2,2,0.46915066
KPN_RS00025,GO:0071704,2,2,0.596754088
KPN_RS00695,GO:0006807,2,2,0.4330000519999999
KPN_RS00695,GO:0006810,3,3,0.514503592
KPN_RS00695,GO:0006811,4,4,0.422187482
KPN_RS00695,GO:0044237,2,2,0.50938947
KPN_RS00695,GO:0044238,2,2,0.467129474
KPN_RS00695,GO:0051234,2,2,0.514503592
KPN_RS00695,GO:0071702,4,4,0.514503592
KPN_RS00695,GO:0071704,2,2,0.5944048399999999
KPN_RS00695,GO:0071705,4,4,0.3410676
KPN_RS01775,GO:0006807,2,2,0.430038302
KPN_RS01775,GO:0044237,2,2,0.5096294499999999
KPN_RS01775,GO:0044238,2,2,0.465394124
KPN_RS01775,GO:0071704,2,2,0.59831646
KPN_RS01950,GO:0006807,2,2,0.43316802
KPN_RS01950,GO:0044237,2,2,0.5098794659999999
KPN_RS01950,GO:0044238,2,2,0.4676231439999999
KPN_RS01950,GO:0071704,2,2,0.59364135
KPN_RS02055,GO:0006139,4,3,0.571667976
KPN_RS02055,GO:0006355,9,6,0.526733562
KPN_RS02055,GO:0006725,3,3,0.571667976
KPN_RS02055,GO:0006807,2,2,0.571667976
KPN_RS02055,GO:0009058,2,2,0.543166758
KPN_RS02055,GO:0009059,4,4,0.543166758
KPN_RS02055,GO:0009889,4,4,0.543166758
KPN_RS02055,GO:0010468,5,5,0.526733562
KPN_RS02055,GO:0010556,5,5,0.543166758
KPN_RS02055,GO:0016070,6,5,0.5457935839999999
KPN_RS02055,GO:0018130,4,4,0.53896272
KPN_RS02055,GO:0019219,5,5,0.571667976
KPN_RS02055,GO:0019222,3,3,0.571667976
KPN_RS02055,GO:0019438,4,4,0.53896272
KPN_RS02055,GO:0031323,4,4,0.571667976
KPN_RS02055,GO:0031326,5,5,0.53896272
KPN_RS02055,GO:0032774,7,5,0.53896272
KPN_RS02055,GO:0034641,3,3,0.571667976
KPN_RS02055,GO:0034654,5,4,0.53896272
KPN_RS02055,GO:0043170,3,3,0.5473439840000001
KPN_RS02055,GO:0044237,2,2,0.571667976
KPN_RS02055,GO:0044238,2,2,0.571667976
KPN_RS02055,GO:0044249,3,3,0.53896272
KPN_RS02055,GO:0044271,4,4,0.53896272
KPN_RS02055,GO:0046483,3,3,0.571667976
KPN_RS02055,GO:0050789,2,2,0.571667976
KPN_RS02055,GO:0050794,3,3,0.571667976
KPN_RS02055,GO:0051171,4,4,0.571667976
KPN_RS02055,GO:0051252,6,5,0.5457935839999999
KPN_RS02055,GO:0060255,4,4,0.5473439840000001
KPN_RS02055,GO:0071704,2,2,0.604240904
KPN_RS02055,GO:0080090,4,4,0.571667976
KPN_RS02055,GO:0090304,5,4,0.5457935839999999
KPN_RS02055,GO:1901360,3,3,0.571667976
KPN_RS02055,GO:1901362,4,4,0.53896272
KPN_RS02055,GO:1901576,3,3,0.543166758
KPN_RS02055,GO:2001141,7,6,0.53896272
KPN_RS02075,GO:0006807,2,2,0.43330868
KPN_RS02075,GO:0006810,3,3,0.8794921
KPN_RS02075,GO:0006811,4,4,0.558315726
KPN_RS02075,GO:0044237,2,2,0.510917524
KPN_RS02075,GO:0044238,2,2,0.467598154
KPN_RS02075,GO:0051234,2,2,0.8795870200000001
KPN_RS02075,GO:0055085,4,2,0.448076452
KPN_RS02075,GO:0071702,4,4,0.6355412320000001
KPN_RS02075,GO:0071704,2,2,0.59404354
KPN_RS02225,GO:0006139,4,3,0.46431349
KPN_RS02225,GO:0006355,9,6,0.342847026
KPN_RS02225,GO:0006725,3,3,0.46431349
KPN_RS02225,GO:0006807,2,2,0.46431349
KPN_RS02225,GO:0009058,2,2,0.3570108239999999
KPN_RS02225,GO:0009059,4,4,0.3570108239999999
KPN_RS02225,GO:0009889,4,4,0.348279252
