Genes,Annotations,Depth,Level,Score
CJJ81176_RS00090,GO:0006807,2,2,0.5962962
CJJ81176_RS00090,GO:0006810,3,3,0.53790326
CJJ81176_RS00090,GO:0044237,2,2,0.629269654
CJJ81176_RS00090,GO:0044238,2,2,0.598383388
CJJ81176_RS00090,GO:0051234,2,2,0.53790326
CJJ81176_RS00090,GO:0071704,2,2,0.6952590479999999
CJJ81176_RS00205,GO:0006807,2,2,0.5883225540000001
CJJ81176_RS00205,GO:0044237,2,2,0.623249002
CJJ81176_RS00205,GO:0044238,2,2,0.5933464620000001
CJJ81176_RS00205,GO:0071704,2,2,0.6839002700000001
CJJ81176_RS00230,GO:0006807,2,2,0.5860679440000001
CJJ81176_RS00230,GO:0008283,2,2,0.530756592
CJJ81176_RS00230,GO:0044237,2,2,0.622424992
CJJ81176_RS00230,GO:0044238,2,2,0.592128476
CJJ81176_RS00230,GO:0071704,2,2,0.6806041119999999
CJJ81176_RS00250,GO:0006807,2,2,0.578482042
CJJ81176_RS00250,GO:0044237,2,2,0.6140261279999999
CJJ81176_RS00250,GO:0044238,2,2,0.58119669
CJJ81176_RS00250,GO:0071704,2,2,0.664600748
CJJ81176_RS00270,GO:0006807,2,2,0.582898288
CJJ81176_RS00270,GO:0044237,2,2,0.611271278
CJJ81176_RS00270,GO:0044238,2,2,0.57779212
CJJ81176_RS00270,GO:0071704,2,2,0.6651229200000001
CJJ81176_RS00385,GO:0006807,2,2,0.586051074
CJJ81176_RS00385,GO:0044237,2,2,0.6221771
CJJ81176_RS00385,GO:0044238,2,2,0.592415272
CJJ81176_RS00385,GO:0071704,2,2,0.680995236
CJJ81176_RS00405,GO:0006807,2,2,0.58878779
CJJ81176_RS00405,GO:0044237,2,2,0.622132172
CJJ81176_RS00405,GO:0044238,2,2,0.587829972
CJJ81176_RS00405,GO:0071704,2,2,0.681532488
CJJ81176_RS00635,GO:0006807,2,2,0.5874917139999999
CJJ81176_RS00635,GO:0044237,2,2,0.619861186
CJJ81176_RS00635,GO:0044238,2,2,0.591650544
CJJ81176_RS00635,GO:0071704,2,2,0.682283156
CJJ81176_RS00645,GO:0006807,2,2,0.578955306
CJJ81176_RS00645,GO:0044237,2,2,0.613830536
CJJ81176_RS00645,GO:0044238,2,2,0.58271036
CJJ81176_RS00645,GO:0071704,2,2,0.666627268
CJJ81176_RS00710,GO:0006139,4,3,0.487762266
CJJ81176_RS00710,GO:0006725,3,3,0.487762266
CJJ81176_RS00710,GO:0006807,2,2,0.58294377
CJJ81176_RS00710,GO:0016070,6,5,0.487762266
CJJ81176_RS00710,GO:0034641,3,3,0.487762266
CJJ81176_RS00710,GO:0043170,3,3,0.487762266
CJJ81176_RS00710,GO:0044237,2,2,0.6158089840000001
CJJ81176_RS00710,GO:0044238,2,2,0.5838816280000001
CJJ81176_RS00710,GO:0046483,3,3,0.487762266
CJJ81176_RS00710,GO:0071704,2,2,0.6722183159999999
CJJ81176_RS00710,GO:0090304,5,4,0.487762266
CJJ81176_RS00710,GO:1901360,3,3,0.487762266
CJJ81176_RS00885,GO:0006807,2,2,0.581853852
CJJ81176_RS00885,GO:0044237,2,2,0.6164970540000001
CJJ81176_RS00885,GO:0044238,2,2,0.58625268
CJJ81176_RS00885,GO:0071704,2,2,0.673304808
CJJ81176_RS00890,GO:0006807,2,2,0.5842550200000001
CJJ81176_RS00890,GO:0044237,2,2,0.617980806
CJJ81176_RS00890,GO:0044238,2,2,0.58806165
CJJ81176_RS00890,GO:0071704,2,2,0.676582476
CJJ81176_RS00915,GO:0006807,2,2,0.597891176
CJJ81176_RS00915,GO:0044237,2,2,0.634511232
CJJ81176_RS00915,GO:0044238,2,2,0.6016510320000001
CJJ81176_RS00915,GO:0071704,2,2,0.6992327119999999
CJJ81176_RS00955,GO:0006807,2,2,0.5903583940000001
CJJ81176_RS00955,GO:0044237,2,2,0.622422448
CJJ81176_RS00955,GO:0044238,2,2,0.590427324
CJJ81176_RS00955,GO:0071704,2,2,0.68538712
CJJ81176_RS01060,GO:0006807,2,2,0.592442378
CJJ81176_RS01060,GO:0044237,2,2,0.6267185439999999
CJJ81176_RS01060,GO:0044238,2,2,0.599343716
CJJ81176_RS01060,GO:0071704,2,2,0.6933754719999998
CJJ81176_RS01175,GO:0006807,2,2,0.58417838
CJJ81176_RS01175,GO:0044237,2,2,0.616561356
CJJ81176_RS01175,GO:0044238,2,2,0.58184802
CJJ81176_RS01175,GO:0051234,2,2,0.4731434279999999
CJJ81176_RS01175,GO:0071704,2,2,0.6738057820000001
CJJ81176_RS01265,GO:0006807,2,2,0.58393194
CJJ81176_RS01265,GO:0032259,2,2,0.8252646
CJJ81176_RS01265,GO:0044237,2,2,0.6154689259999999
CJJ81176_RS01265,GO:0044238,2,2,0.5812915399999999
CJJ81176_RS01265,GO:0071704,2,2,0.672813732
CJJ81176_RS01550,GO:0006807,2,2,0.576968236
CJJ81176_RS01550,GO:0044237,2,2,0.607176774
CJJ81176_RS01550,GO:0044238,2,2,0.5752351800000001
CJJ81176_RS01550,GO:0071704,2,2,0.659820388
CJJ81176_RS01750,GO:0006807,2,2,0.580237982
CJJ81176_RS01750,GO:0044237,2,2,0.6126339279999999
CJJ81176_RS01750,GO:0044238,2,2,0.5828950500000001
CJJ81176_RS01750,GO:0071704,2,2,0.67139872
CJJ81176_RS01785,GO:0006807,2,2,0.575099172
CJJ81176_RS01785,GO:0044237,2,2,0.60189598
CJJ81176_RS01785,GO:0044238,2,2,0.5703004720000001
CJJ81176_RS01785,GO:0071704,2,2,0.6570329079999999
CJJ81176_RS01885,GO:0006807,2,2,0.579658426
CJJ81176_RS01885,GO:0044237,2,2,0.61085103
CJJ81176_RS01885,GO:0044238,2,2,0.57829658
CJJ81176_RS01885,GO:0071704,2,2,0.66763754
CJJ81176_RS01905,GO:0006807,2,2,0.5861183879999999
CJJ81176_RS01905,GO:0044237,2,2,0.61719554
CJJ81176_RS01905,GO:0044238,2,2,0.58426932
CJJ81176_RS01905,GO:0071704,2,2,0.67942962
CJJ81176_RS01915,GO:0006807,2,2,0.5889148599999998
CJJ81176_RS01915,GO:0006810,3,3,0.7966069480000001
CJJ81176_RS01915,GO:0006811,4,4,0.57658816
CJJ81176_RS01915,GO:0008104,4,4,0.813035644
CJJ81176_RS01915,GO:0015031,6,4,0.7966069480000001
CJJ81176_RS01915,GO:0033036,2,2,0.813035644
CJJ81176_RS01915,GO:0044237,2,2,0.622004352
CJJ81176_RS01915,GO:0044238,2,2,0.589243526
CJJ81176_RS01915,GO:0045184,5,3,0.813035644
CJJ81176_RS01915,GO:0051234,2,2,0.813035644
CJJ81176_RS01915,GO:0051641,2,2,0.813035644
CJJ81176_RS01915,GO:0055085,4,2,0.5315618900000001
CJJ81176_RS01915,GO:0070727,3,3,0.813035644
CJJ81176_RS01915,GO:0071702,4,4,0.7966069480000001
CJJ81176_RS01915,GO:0071704,2,2,0.686616928
CJJ81176_RS01915,GO:0071705,4,4,0.7966069480000001
CJJ81176_RS01915,GO:0071806,7,3,0.5315618900000001
CJJ81176_RS01915,GO:0140352,4,2,0.485718602
CJJ81176_RS02055,GO:0006807,2,2,0.574397298
CJJ81176_RS02055,GO:0044237,2,2,0.6062710339999999
CJJ81176_RS02055,GO:0044238,2,2,0.57643373
CJJ81176_RS02055,GO:0071704,2,2,0.6626770399999999
CJJ81176_RS02180,GO:0006807,2,2,0.5756193780000001
CJJ81176_RS02180,GO:0044237,2,2,0.605829312
CJJ81176_RS02180,GO:0044238,2,2,0.572925872
CJJ81176_RS02180,GO:0071704,2,2,0.6618693959999999
CJJ81176_RS02215,GO:0006807,2,2,0.5723280040000001
CJJ81176_RS02215,GO:0006810,3,3,0.532885312
CJJ81176_RS02215,GO:0044237,2,2,0.5992477279999999
CJJ81176_RS02215,GO:0044238,2,2,0.566341592
