Genes,Annotations,Depth,Level,Score
SPD_RS00175,GO:0006807,2,2,0.575269706
SPD_RS00175,GO:0006810,3,3,0.4614363
SPD_RS00175,GO:0044237,2,2,0.58068031
SPD_RS00175,GO:0044238,2,2,0.6572116159999999
SPD_RS00175,GO:0051234,2,2,0.4614363
SPD_RS00175,GO:0071704,2,2,0.735097702
SPD_RS00310,GO:0006807,2,2,0.578602138
SPD_RS00310,GO:0044237,2,2,0.582760772
SPD_RS00310,GO:0044238,2,2,0.657537134
SPD_RS00310,GO:0071704,2,2,0.7303590339999999
SPD_RS00465,GO:0006807,2,2,0.577318392
SPD_RS00465,GO:0009058,2,2,0.5248661419999999
SPD_RS00465,GO:0034641,3,3,0.5248661419999999
SPD_RS00465,GO:0043603,3,3,0.5248661419999999
SPD_RS00465,GO:0043604,5,4,0.5248661419999999
SPD_RS00465,GO:0044237,2,2,0.5806882200000001
SPD_RS00465,GO:0044238,2,2,0.65348251
SPD_RS00465,GO:0044249,3,3,0.5248661419999999
SPD_RS00465,GO:0044271,4,4,0.5248661419999999
SPD_RS00465,GO:0071704,2,2,0.7257626119999999
SPD_RS00595,GO:0006807,2,2,0.573586288
SPD_RS00595,GO:0044237,2,2,0.580986306
SPD_RS00595,GO:0044238,2,2,0.65233694
SPD_RS00595,GO:0071704,2,2,0.729541962
SPD_RS00610,GO:0006807,2,2,0.5787962999999999
SPD_RS00610,GO:0044237,2,2,0.5857168999999999
SPD_RS00610,GO:0044238,2,2,0.662312886
SPD_RS00610,GO:0071704,2,2,0.738045578
SPD_RS00615,GO:0006807,2,2,0.578069454
SPD_RS00615,GO:0044237,2,2,0.5849076480000001
SPD_RS00615,GO:0044238,2,2,0.660676796
SPD_RS00615,GO:0071704,2,2,0.73570525
SPD_RS00620,GO:0006807,2,2,0.57654237
SPD_RS00620,GO:0044237,2,2,0.5836768219999999
SPD_RS00620,GO:0044238,2,2,0.65622555
SPD_RS00620,GO:0071704,2,2,0.73035048
SPD_RS00635,GO:0006807,2,2,0.578763272
SPD_RS00635,GO:0006810,3,3,0.786669906
SPD_RS00635,GO:0008643,5,5,0.786669906
SPD_RS00635,GO:0009401,8,5,0.786669906
SPD_RS00635,GO:0034219,6,3,0.786669906
SPD_RS00635,GO:0044237,2,2,0.585198104
SPD_RS00635,GO:0044238,2,2,0.6601097979999999
SPD_RS00635,GO:0051234,2,2,0.786669906
SPD_RS00635,GO:0055085,4,2,0.786669906
SPD_RS00635,GO:0071702,4,4,0.786669906
SPD_RS00635,GO:0071704,2,2,0.7370327939999999
SPD_RS00635,GO:0098657,4,4,0.786669906
SPD_RS00635,GO:0098704,7,4,0.786669906
SPD_RS00635,GO:0098739,5,3,0.786669906
SPD_RS00645,GO:0006807,2,2,0.5772875400000002
SPD_RS00645,GO:0044237,2,2,0.5824754679999999
SPD_RS00645,GO:0044238,2,2,0.655712096
SPD_RS00645,GO:0071704,2,2,0.7295779719999999
SPD_RS00655,GO:0006807,2,2,0.574646818
SPD_RS00655,GO:0044237,2,2,0.5791742999999999
SPD_RS00655,GO:0044238,2,2,0.649027476
SPD_RS00655,GO:0071704,2,2,0.7197779499999999
SPD_RS00665,GO:0006793,3,3,0.52182459
SPD_RS00665,GO:0006796,4,4,0.460754686
SPD_RS00665,GO:0006807,2,2,0.5767050279999999
SPD_RS00665,GO:0044237,2,2,0.581348052
SPD_RS00665,GO:0044238,2,2,0.6541742939999999
SPD_RS00665,GO:0071704,2,2,0.726106454
SPD_RS00740,GO:0006807,2,2,0.576888546
SPD_RS00740,GO:0044237,2,2,0.588324186
SPD_RS00740,GO:0044238,2,2,0.663713518
SPD_RS00740,GO:0071704,2,2,0.744601774
SPD_RS00815,GO:0006807,2,2,0.5776203520000001
SPD_RS00815,GO:0044237,2,2,0.583557164
SPD_RS00815,GO:0044238,2,2,0.6553080240000001
SPD_RS00815,GO:0071704,2,2,0.728358848
SPD_RS00870,GO:0006807,2,2,0.578405002
SPD_RS00870,GO:0044237,2,2,0.584417578
SPD_RS00870,GO:0044238,2,2,0.6557081900000001
SPD_RS00870,GO:0071704,2,2,0.7298385599999999
SPD_RS00910,GO:0006807,2,2,0.578336894
SPD_RS00910,GO:0044237,2,2,0.585356932
SPD_RS00910,GO:0044238,2,2,0.6636473120000002
SPD_RS00910,GO:0071704,2,2,0.745199006
SPD_RS00995,GO:0006807,2,2,0.5793833919999999
SPD_RS00995,GO:0044237,2,2,0.5840647840000001
SPD_RS00995,GO:0044238,2,2,0.65834818
SPD_RS00995,GO:0071704,2,2,0.7334730620000001
SPD_RS01060,GO:0006807,2,2,0.583127654
SPD_RS01060,GO:0044237,2,2,0.5923475619999999
SPD_RS01060,GO:0044238,2,2,0.672835816
SPD_RS01060,GO:0071704,2,2,0.753450196
SPD_RS01320,GO:0006139,4,3,0.530151766
SPD_RS01320,GO:0006355,9,6,0.5134382279999999
SPD_RS01320,GO:0006725,3,3,0.530151766
SPD_RS01320,GO:0006807,2,2,0.578742778
SPD_RS01320,GO:0009058,2,2,0.5265822360000001
SPD_RS01320,GO:0009059,4,4,0.5265822360000001
SPD_RS01320,GO:0009889,4,4,0.5265822360000001
SPD_RS01320,GO:0010468,5,5,0.5134382279999999
SPD_RS01320,GO:0010556,5,5,0.5265822360000001
SPD_RS01320,GO:0016070,6,5,0.5134382279999999
SPD_RS01320,GO:0018130,4,4,0.5134382279999999
SPD_RS01320,GO:0019219,5,5,0.530151766
SPD_RS01320,GO:0019222,3,3,0.533842446
SPD_RS01320,GO:0019438,4,4,0.5134382279999999
SPD_RS01320,GO:0031323,4,4,0.530151766
SPD_RS01320,GO:0031326,5,5,0.5134382279999999
SPD_RS01320,GO:0032774,7,5,0.5134382279999999
SPD_RS01320,GO:0034641,3,3,0.530151766
SPD_RS01320,GO:0034654,5,4,0.5134382279999999
SPD_RS01320,GO:0043170,3,3,0.5265822360000001
SPD_RS01320,GO:0044237,2,2,0.5854999120000001
SPD_RS01320,GO:0044238,2,2,0.657960632
SPD_RS01320,GO:0044249,3,3,0.5134382279999999
SPD_RS01320,GO:0044271,4,4,0.5134382279999999
SPD_RS01320,GO:0046483,3,3,0.530151766
SPD_RS01320,GO:0050789,2,2,0.533842446
SPD_RS01320,GO:0050794,3,3,0.530151766
SPD_RS01320,GO:0051171,4,4,0.530151766
SPD_RS01320,GO:0051252,6,5,0.5134382279999999
SPD_RS01320,GO:0060255,4,4,0.5265822360000001
SPD_RS01320,GO:0071704,2,2,0.73260378
SPD_RS01320,GO:0080090,4,4,0.530151766
SPD_RS01320,GO:0090304,5,4,0.5134382279999999
SPD_RS01320,GO:1901360,3,3,0.530151766
SPD_RS01320,GO:1901362,4,4,0.5134382279999999
SPD_RS01320,GO:1901576,3,3,0.5265822360000001
SPD_RS01320,GO:2001141,7,6,0.5134382279999999
SPD_RS01400,GO:0006807,2,2,0.5762907100000001
SPD_RS01400,GO:0044237,2,2,0.581777732
SPD_RS01400,GO:0044238,2,2,0.6521435280000001
SPD_RS01400,GO:0071704,2,2,0.725109948
SPD_RS01520,GO:0006807,2,2,0.5773886500000001
SPD_RS01520,GO:0006810,3,3,0.7666806399999999
SPD_RS01520,GO:0008643,5,5,0.633676788
SPD_RS01520,GO:0009401,8,5,0.633676788
SPD_RS01520,GO:0034219,6,3,0.633676788
SPD_RS01520,GO:0044237,2,2,0.582511804
SPD_RS01520,GO:0044238,2,2,0.655130476
SPD_RS01520,GO:0051234,2,2,0.7666806399999999
SPD_RS01520,GO:0055085,4,2,0.7666806399999999
