Genes,Annotations,Depth,Level,Score
lmo0003,GO:0006807,2,2,0.454739692
lmo0003,GO:0006810,3,3,0.8767036319999999
lmo0003,GO:0008643,5,5,0.4629135680000001
lmo0003,GO:0009401,8,5,0.4579561999999999
lmo0003,GO:0034219,6,3,0.4579561999999999
lmo0003,GO:0044237,2,2,0.511882948
lmo0003,GO:0044238,2,2,0.5200072299999999
lmo0003,GO:0051234,2,2,0.878640182
lmo0003,GO:0055085,4,2,0.729972772
lmo0003,GO:0071702,4,4,0.5238452
lmo0003,GO:0071704,2,2,0.618660304
lmo0003,GO:0098657,4,4,0.4579561999999999
lmo0003,GO:0098704,7,4,0.4579561999999999
lmo0003,GO:0098739,5,3,0.4579561999999999
lmo0019,GO:0044237,2,2,0.50978032
lmo0019,GO:0044238,2,2,0.525653548
lmo0019,GO:0071704,2,2,0.6335060479999999
lmo0029,GO:0006807,2,2,0.4519319539999999
lmo0029,GO:0006810,3,3,0.654618304
lmo0029,GO:0008643,5,5,0.654618304
lmo0029,GO:0009401,8,5,0.654618304
lmo0029,GO:0034219,6,3,0.654618304
lmo0029,GO:0044237,2,2,0.51193317
lmo0029,GO:0044238,2,2,0.52068058
lmo0029,GO:0051234,2,2,0.654618304
lmo0029,GO:0055085,4,2,0.654618304
lmo0029,GO:0071702,4,4,0.654618304
lmo0029,GO:0071704,2,2,0.6227016240000001
lmo0029,GO:0098657,4,4,0.654618304
lmo0029,GO:0098704,7,4,0.654618304
lmo0029,GO:0098739,5,3,0.654618304
lmo0049,GO:0006807,2,2,0.4547584619999999
lmo0049,GO:0044237,2,2,0.512038346
lmo0049,GO:0044238,2,2,0.52049694
lmo0049,GO:0071704,2,2,0.6196748999999999
lmo0068,GO:0006139,4,3,0.768699824
lmo0068,GO:0006355,9,6,0.76714048
lmo0068,GO:0006725,3,3,0.768699824
lmo0068,GO:0006807,2,2,0.768699824
lmo0068,GO:0009058,2,2,0.77676397
lmo0068,GO:0009059,4,4,0.77676397
lmo0068,GO:0009889,4,4,0.77676397
lmo0068,GO:0010468,5,5,0.76714048
lmo0068,GO:0010556,5,5,0.77676397
lmo0068,GO:0016070,6,5,0.768699824
lmo0068,GO:0018130,4,4,0.76714048
lmo0068,GO:0019219,5,5,0.768699824
lmo0068,GO:0019222,3,3,0.77676397
lmo0068,GO:0019438,4,4,0.76714048
lmo0068,GO:0031323,4,4,0.768699824
lmo0068,GO:0031326,5,5,0.76714048
lmo0068,GO:0032774,7,5,0.76714048
lmo0068,GO:0034641,3,3,0.768699824
lmo0068,GO:0034654,5,4,0.76714048
lmo0068,GO:0043170,3,3,0.77676397
lmo0068,GO:0044237,2,2,0.768699824
lmo0068,GO:0044238,2,2,0.768699824
lmo0068,GO:0044249,3,3,0.76714048
lmo0068,GO:0044271,4,4,0.76714048
lmo0068,GO:0046483,3,3,0.768699824
lmo0068,GO:0050789,2,2,0.77676397
lmo0068,GO:0050794,3,3,0.768699824
lmo0068,GO:0051171,4,4,0.768699824
lmo0068,GO:0051252,6,5,0.768699824
lmo0068,GO:0060255,4,4,0.77676397
lmo0068,GO:0071704,2,2,0.77676397
lmo0068,GO:0080090,4,4,0.768699824
lmo0068,GO:0090304,5,4,0.768699824
lmo0068,GO:1901360,3,3,0.768699824
lmo0068,GO:1901362,4,4,0.76714048
lmo0068,GO:1901576,3,3,0.77676397
lmo0068,GO:2001141,7,6,0.76714048
lmo0070,GO:0006807,2,2,0.453452362
lmo0070,GO:0006810,3,3,0.5598836
lmo0070,GO:0044237,2,2,0.5116014
lmo0070,GO:0044238,2,2,0.5194081479999999
lmo0070,GO:0051234,2,2,0.563903572
lmo0070,GO:0071704,2,2,0.618789008
lmo0071,GO:0006139,4,3,0.5300944000000001
lmo0071,GO:0006355,9,6,0.52593028
lmo0071,GO:0006725,3,3,0.5300944000000001
lmo0071,GO:0006807,2,2,0.5300944000000001
lmo0071,GO:0009058,2,2,0.54416256
lmo0071,GO:0009059,4,4,0.54416256
lmo0071,GO:0009889,4,4,0.54416256
lmo0071,GO:0010468,5,5,0.5366247399999999
lmo0071,GO:0010556,5,5,0.54416256
lmo0071,GO:0016070,6,5,0.52593028
lmo0071,GO:0018130,4,4,0.52593028
lmo0071,GO:0019219,5,5,0.5300944000000001
lmo0071,GO:0019222,3,3,0.56176728
lmo0071,GO:0019438,4,4,0.52593028
lmo0071,GO:0031323,4,4,0.5300944000000001
lmo0071,GO:0031326,5,5,0.52593028
lmo0071,GO:0032774,7,5,0.52593028
lmo0071,GO:0034641,3,3,0.5300944000000001
lmo0071,GO:0034654,5,4,0.52593028
lmo0071,GO:0043170,3,3,0.56176728
lmo0071,GO:0044237,2,2,0.5300944000000001
lmo0071,GO:0044238,2,2,0.5300944000000001
lmo0071,GO:0044249,3,3,0.52593028
lmo0071,GO:0044271,4,4,0.52593028
lmo0071,GO:0046483,3,3,0.5300944000000001
lmo0071,GO:0050789,2,2,0.56176728
lmo0071,GO:0050794,3,3,0.5300944000000001
lmo0071,GO:0051171,4,4,0.5300944000000001
lmo0071,GO:0051252,6,5,0.52593028
lmo0071,GO:0060255,4,4,0.56176728
lmo0071,GO:0071704,2,2,0.620931166
lmo0071,GO:0080090,4,4,0.5300944000000001
lmo0071,GO:0090304,5,4,0.52593028
lmo0071,GO:1901360,3,3,0.5300944000000001
lmo0071,GO:1901362,4,4,0.52593028
lmo0071,GO:1901576,3,3,0.54416256
lmo0071,GO:2001141,7,6,0.52593028
lmo0072,GO:0006807,2,2,0.465900396
lmo0072,GO:0019538,4,3,0.461320844
lmo0072,GO:0043170,3,3,0.461320844
lmo0072,GO:0043412,4,4,0.461320844
lmo0072,GO:0044237,2,2,0.511651082
lmo0072,GO:0044238,2,2,0.52091966
