Genes,Annotations,Depth,Level,Score
SAS_RS00055,GO:0006807,2,2,0.643267052
SAS_RS00055,GO:0006810,3,3,0.681727334
SAS_RS00055,GO:0044237,2,2,0.704330238
SAS_RS00055,GO:0044238,2,2,0.667610568
SAS_RS00055,GO:0051234,2,2,0.681727334
SAS_RS00055,GO:0055085,4,2,0.4986723439999999
SAS_RS00055,GO:0071704,2,2,0.772841554
SAS_RS00360,GO:0006807,2,2,0.670201856
SAS_RS00360,GO:0044237,2,2,0.746063986
SAS_RS00360,GO:0044238,2,2,0.7038511799999999
SAS_RS00360,GO:0071704,2,2,0.82060376
SAS_RS00410,GO:0006807,2,2,0.6534740400000001
SAS_RS00410,GO:0006810,3,3,0.52279122
SAS_RS00410,GO:0044237,2,2,0.720958158
SAS_RS00410,GO:0044238,2,2,0.6800679860000001
SAS_RS00410,GO:0051234,2,2,0.52279122
SAS_RS00410,GO:0071704,2,2,0.792158078
SAS_RS01160,GO:0006807,2,2,0.6303509
SAS_RS01160,GO:0044237,2,2,0.684989742
SAS_RS01160,GO:0044238,2,2,0.648828834
SAS_RS01160,GO:0071704,2,2,0.7478291880000001
SAS_RS01760,GO:0006807,2,2,0.655702848
SAS_RS01760,GO:0044237,2,2,0.723633176
SAS_RS01760,GO:0044238,2,2,0.6841139999999999
SAS_RS01760,GO:0071704,2,2,0.79580296
SAS_RS01805,GO:0006807,2,2,0.65485707
SAS_RS01805,GO:0044237,2,2,0.725024144
SAS_RS01805,GO:0044238,2,2,0.6851182720000001
SAS_RS01805,GO:0071704,2,2,0.798262602
SAS_RS01875,GO:0006807,2,2,0.6499462420000001
SAS_RS01875,GO:0044237,2,2,0.7173998380000001
SAS_RS01875,GO:0044238,2,2,0.676961546
SAS_RS01875,GO:0071704,2,2,0.7889016999999999
SAS_RS02100,GO:0006807,2,2,0.64877788
SAS_RS02100,GO:0044237,2,2,0.71199122
SAS_RS02100,GO:0044238,2,2,0.6723036499999999
SAS_RS02100,GO:0071704,2,2,0.7810750900000001
SAS_RS02130,GO:0006807,2,2,0.6463363400000001
SAS_RS02130,GO:0044237,2,2,0.70681609
SAS_RS02130,GO:0044238,2,2,0.668249726
SAS_RS02130,GO:0071704,2,2,0.77601484
SAS_RS02195,GO:0006807,2,2,0.650495454
SAS_RS02195,GO:0044237,2,2,0.7175988600000001
SAS_RS02195,GO:0044238,2,2,0.67796383
SAS_RS02195,GO:0071704,2,2,0.789553182
SAS_RS02885,GO:0006807,2,2,0.6469712060000001
SAS_RS02885,GO:0044237,2,2,0.709791856
SAS_RS02885,GO:0044238,2,2,0.66981677
SAS_RS02885,GO:0071704,2,2,0.777681806
SAS_RS02895,GO:0006807,2,2,0.66211173
SAS_RS02895,GO:0044237,2,2,0.7363809
SAS_RS02895,GO:0044238,2,2,0.693526318
SAS_RS02895,GO:0071704,2,2,0.8100182119999999
SAS_RS03040,GO:0006807,2,2,0.64847334
SAS_RS03040,GO:0044237,2,2,0.711396458
SAS_RS03040,GO:0044238,2,2,0.6710389720000001
SAS_RS03040,GO:0071704,2,2,0.7801123719999999
SAS_RS03060,GO:0006807,2,2,0.648779348
SAS_RS03060,GO:0044237,2,2,0.711251028
SAS_RS03060,GO:0044238,2,2,0.67171902
SAS_RS03060,GO:0071704,2,2,0.780270024
SAS_RS03065,GO:0006807,2,2,0.644892988
SAS_RS03065,GO:0044237,2,2,0.705166212
SAS_RS03065,GO:0044238,2,2,0.666729462
SAS_RS03065,GO:0071704,2,2,0.772573002
SAS_RS03315,GO:0006807,2,2,0.650222538
SAS_RS03315,GO:0044237,2,2,0.714080388
SAS_RS03315,GO:0044238,2,2,0.6739570259999998
SAS_RS03315,GO:0071704,2,2,0.783413152
SAS_RS03470,GO:0006807,2,2,0.6469978500000001
SAS_RS03470,GO:0044237,2,2,0.71270148
SAS_RS03470,GO:0044238,2,2,0.67158586
SAS_RS03470,GO:0071704,2,2,0.78316772
SAS_RS03605,GO:0006807,2,2,0.65201012
SAS_RS03605,GO:0044237,2,2,0.721477102
SAS_RS03605,GO:0044238,2,2,0.6801027600000001
SAS_RS03605,GO:0071704,2,2,0.7927881400000001
SAS_RS03795,GO:0006807,2,2,0.6455943559999999
SAS_RS03795,GO:0044237,2,2,0.707653438
SAS_RS03795,GO:0044238,2,2,0.6678878859999999
SAS_RS03795,GO:0071704,2,2,0.7751087680000002
SAS_RS03820,GO:0006807,2,2,0.6470831199999999
SAS_RS03820,GO:0006810,3,3,0.604334988
SAS_RS03820,GO:0006811,4,4,0.5365179600000001
SAS_RS03820,GO:0044237,2,2,0.712735204
SAS_RS03820,GO:0044238,2,2,0.6724153740000001
SAS_RS03820,GO:0051234,2,2,0.604334988
SAS_RS03820,GO:0055085,4,2,0.604334988
