Genes,Annotations,Depth,Level,Score
B4U56_RS00040,GO:0006082,3,3,0.457112034
B4U56_RS00040,GO:0006807,2,2,0.598922196
B4U56_RS00040,GO:0044237,2,2,0.6539523120000001
B4U56_RS00040,GO:0044238,2,2,0.6247972039999999
B4U56_RS00040,GO:0044281,2,2,0.457112034
B4U56_RS00040,GO:0071704,2,2,0.738992512
B4U56_RS00140,GO:0006807,2,2,0.5963176459999999
B4U56_RS00140,GO:0044237,2,2,0.6511452500000001
B4U56_RS00140,GO:0044238,2,2,0.621999148
B4U56_RS00140,GO:0071704,2,2,0.7327632019999999
B4U56_RS00150,GO:0006807,2,2,0.5992550480000001
B4U56_RS00150,GO:0006810,3,3,0.772253592
B4U56_RS00150,GO:0044237,2,2,0.6558620000000001
B4U56_RS00150,GO:0044238,2,2,0.6247540520000001
B4U56_RS00150,GO:0051234,2,2,0.7728122519999999
B4U56_RS00150,GO:0055085,4,2,0.5766281280000001
B4U56_RS00150,GO:0071702,4,4,0.447827674
B4U56_RS00150,GO:0071704,2,2,0.739578296
B4U56_RS00220,GO:0006807,2,2,0.6002076860000001
B4U56_RS00220,GO:0006810,3,3,0.7627911
B4U56_RS00220,GO:0006811,4,4,0.6761808680000001
B4U56_RS00220,GO:0008104,4,4,0.700201202
B4U56_RS00220,GO:0015031,6,4,0.700201202
B4U56_RS00220,GO:0019538,4,3,0.451945672
B4U56_RS00220,GO:0033036,2,2,0.700201202
B4U56_RS00220,GO:0043170,3,3,0.451945672
B4U56_RS00220,GO:0043412,4,4,0.451945672
B4U56_RS00220,GO:0044237,2,2,0.6547133940000001
B4U56_RS00220,GO:0044238,2,2,0.6253316160000001
B4U56_RS00220,GO:0045184,5,3,0.700201202
B4U56_RS00220,GO:0051234,2,2,0.7627911
B4U56_RS00220,GO:0051641,2,2,0.700201202
B4U56_RS00220,GO:0070727,3,3,0.700201202
B4U56_RS00220,GO:0071702,4,4,0.7627911
B4U56_RS00220,GO:0071704,2,2,0.7390391879999999
B4U56_RS00220,GO:0071705,4,4,0.7244964500000001
B4U56_RS00220,GO:1901564,3,3,0.451945672
B4U56_RS00240,GO:0006807,2,2,0.5986330719999999
